input_job_title,minimum_salary,Average_salary,maximum_salary
Digital Sales Planner,$43105,$69050,$110611
Head Coach,$28269,$52879,$98915
Entertainment Reporter,$29681,$52704,$93585
Gymnastics Coach,$23009,$36387,$57541
Talent Manager,$44644,$71289,$113836
Conference Coordinator,$43072,$57155,$75845
Meeting Planner,$42108,$60725,$87571
Senior Meeting Planner,$61501,$77309,$97182
Graduate Assistant,$14500,$22176,$39155
Groundskeeper,$39212,$50495,$65026
Student Mentor,$24142,$36635,$55592
Assistant Director Of Business Operations,$57571,$97845,$166292
Production Planner,$47962,$65291,$88882
Supply Chain Analyst,$51301,$75624,$111481
Recreation Specialist,$29932,$44371,$65777
Advertising Manager,$39853,$62333,$97492
Marketing Operations Manager,$43682,$72025,$118758
Ophthalmic Assistant,$27018,$37311,$51527
Lead Bartender,$47553,$80822,$126594
Digital Marketing Analyst,$36534,$62844,$108102
Client Services Associate,$39067,$56388,$81390
Inside Sales Manager,$60603,$86082,$127996
Regional Sales Executive,$43210,$80857,$151303
Insurance Producer,$34899,$68610,$134885
Group Marketing Manager,$28905,$64367,$143335
Executive Producer,$54119,$99477,$182852
Director Of Events,$44790,$73608,$120966
Learning Facilitator,$57039,$82001,$117885
Media Relations Manager,$49974,$76185,$116141
Project Assistant,$38481,$56603,$83258
Assistant Food Service Director,$43079,$64067,$95281
Food Service Director,$43079,$64067,$95281
Sales Executive,$43210,$80857,$151303
Design Assistant,$29607,$41405,$57903
Creative Services Manager,$45960,$69683,$105651
Marketing And Client Services Coordinator,$44146,$59343,$79770
Marketing Strategist,$37463,$57699,$88867
Senior Marketing Strategist,$47848,$68084,$99252
Financial Aid Specialist,$42844,$66822,$104219
Assistant Media Buyer,$33959,$59467,$104135
Senior Sales Executive,$56285,$101166,$181833
Animal Caretaker,$23319,$33026,$46774
Community Specialist,$18251,$36249,$71996
Marketing Fellow,$27922,$52707,$99491
Senior Advisor,$79933,$97166,$152559
Associate Director,$59547,$99311,$175186
Personal Stylist,$29186,$55511,$105582
Assistant Team Manager,$38894,$55278,$78565
Marketing Advisor,$35122,$70757,$142549
Senior Sales Development Representative,$45411,$90617,$180822
Benefits Advisor,$42275,$65430,$101268
Senior Marketing Associate,$50412,$71016,$100040
Cart Attendant,$21656,$30641,$43354
Guest Services Specialist,$33167,$44468,$59618
Customer Logistics Coordinator,$31990,$42982,$57752
Project Specialist,$38426,$63990,$106560
Digital Content Producer,$37963,$61510,$99660
Campaign Specialist,$39146,$70218,$125953
Banker,$48129,$59079,$72962
Development Officer,$21933,$65611,$196263
Audit Intern,$39048,$56401,$81466
Paraeducator,$31224,$42173,$56961
Compliance Officer,$40830,$70534,$121846
Senior Coordinator,$56712,$83124,$113130
Territory Sales Manager,$40929,$73827,$133166
Board Member,$32240,$56364,$98540
Key Holder,$35779,$47649,$63456
Technical Project Manager,$73902,$106482,$153426
School Assistant,$42714,$56767,$75443
Tennis Coach,$19328,$36199,$67796
Writing Associate,$51048,$82190,$132331
Digital Marketing Associate,$36534,$62844,$108102
Ride Operator,$26834,$34450,$44227
Client Relations Intern,$30101,$43169,$61910
Personal Assistant,$25671,$46611,$84631
Virtual Assistant,$50723,$82173,$133122
Creative Coordinator,$45960,$69683,$105651
Lead Generation Specialist,$17516,$34065,$66251
Student Manager,$45385,$63471,$88783
Social Media Associate,$28473,$48841,$83779
Student Associate,$51048,$82190,$132331
Community Development Manager,$37988,$56702,$84635
Digital Merchandise Assistant,$41347,$57547,$80095
Merchant,$34115,$75635,$167686
Media Executive,$50633,$96360,$183380
Accounts Receivable Specialist,$43124,$58388,$79053
Director Assistant,$59432,$90932,$139129
Treasurer,$56207,$85895,$127516
Senior Specialist,$50681,$81007,$129480
Customer Service Associate,$35442,$59775,$100811
Business Development Consultant,$34782,$58993,$100055
Field Marketing Manager,$36578,$66637,$121399
Swim Instructor,$30977,$61720,$122975
Gardener,$37554,$56948,$86358
Inside Sales Specialist,$30572,$57205,$107039
Event Director,$44790,$73608,$120966
Recruiting Specialist,$42424,$64598,$98362
Functional Coordinator,$52561,$95091,$172033
Testing Analyst,$42356,$65504,$101305
Associate Analyst,$44112,$64875,$104191
Merchandise Planner,$45682,$63491,$88242
Assistant Editor,$32051,$54804,$93708
User Interface Designer,$58909,$98717,$165427
Dietary Aide,$23763,$32176,$43567
English Language Trainer,$35608,$54352,$82963
Senior Marketing Analyst,$59834,$85309,$121630
Public Relations Assistant Manager,$30412,$47531,$74285
Campaign Volunteer,$18626,$37648,$102322
Passenger Service Supervisor,$34173,$44214,$57205
Promotions Director,$88635,$123465,$205694
Booking Agent,$31641,$52777,$88032
Front Office Coordinator,$34190,$47730,$66631
Escalation Engineer,$64395,$96727,$145293
Technical Account Manager,$54962,$88076,$141143
Customer Success Representative,$40805,$70788,$122804
Customer Success Specialist,$40805,$70788,$122804
Customer Success Manager,$40805,$70788,$122804
Site Director,$26908,$41543,$64138
Technology Lead,$59862,$97985,$160386
Peer Mentor,$32070,$41565,$53871
Contributing Writer,$25224,$33981,$45777
Marketing Staff,$35122,$70757,$142549
Market Research Associate,$46745,$87675,$165156
Product Specialist,$40798,$74235,$135076
Regional Manager,$49747,$83741,$140964
Regional Director,$49838,$93680,$176368
Principal Planner,$69727,$103341,$176717
Technology Analyst,$52398,$74690,$106466
Staff Accountant,$46377,$61320,$81077
Grocery Clerk,$27466,$35573,$46073
Warehouse Worker,$24573,$39374,$63090
Enrollment Specialist,$31917,$52747,$87173
Onboarding Specialist,$39789,$63105,$100084
Health Insurance Agent,$28017,$59752,$127433
Lead Coordinator,$69612,$102044,$123019
Service Representative,$35442,$59775,$100811
Digital Advertising Specialist,$41172,$58671,$83608
Digital Strategist,$44496,$68701,$106073
Event Coordinator Assistant,$39527,$58125,$85474
Assistant Media Planner,$51815,$64240,$79644
Lead Teacher,$48706,$68534,$82747
Service Coordinator,$35494,$48278,$65664
Special Events Sales Manager,$38607,$53593,$74395
Speech Coach,$31640,$53354,$89970
Purchasing Manager,$55757,$80962,$117560
Content Strategist,$40862,$68777,$115760
Communications Assistant,$30535,$45094,$66597
Enterprise Business Development Representative,$34532,$61420,$109243
Senior Customer Success,$40805,$70788,$122804
Digital Product Manager,$81502,$120890,$181565
Enterprise Sales Development Representative,$36421,$71881,$141866
Corporate Account Executive,$34619,$68939,$137284
Commercial Account Executive,$34619,$68939,$137284
Programming Coordinator,$43159,$77446,$138969
Portfolio Manager,$52135,$87471,$146764
Pricing Specialist,$45536,$67236,$99277
Portfolio Director,$53358,$99311,$184840
Beauty Consultant,$25034,$35917,$51529
Bookkeeper,$32102,$44015,$62140
Coach,$19328,$36199,$67796
Web Developer,$50930,$82490,$133641
Lead Frontend Engineer,$88853,$142911,$229857
Loss Prevention Agent,$36649,$58664,$93901
Broadcaster,$23067,$47259,$96824
Recruitment Intern,$32423,$56779,$99434
Videographer,$59684,$115611,$223947
Recruitment Counselor,$32423,$56779,$99434
Bilingual Personal Banker,$37415,$48761,$63547
Certified Nursing Assistant Instructor,$30869,$44383,$63812
Registered Nurse,$60371,$93830,$145832
Strategy Analyst,$46012,$72116,$113027
Data Scientist,$94352,$136046,$198843
Assembly Technician,$27975,$38809,$53838
Product Marketing Analyst,$51583,$80362,$125197
Demand Generation Specialist,$39146,$70218,$125953
Demand Generation Manager,$69331,$98542,$140060
Research Coordinator,$38526,$66377,$114360
Applications Specialist,$39975,$73669,$135763
Senior Business Analyst,$70264,$99098,$139764
Team Supervisor,$49300,$70099,$99672
Podcast Host,$29138,$43358,$64516
New Business Development Associate,$32251,$64182,$127728
Patient Service Representative,$24873,$32676,$42928
Customer Support Representative,$37154,$50724,$69251
Creative Project Manager,$45960,$69683,$105651
Activation Associate,$51048,$82190,$132331
Junior Recruiter,$32842,$45345,$62608
Social Media Editor,$28473,$48841,$83779
Software Engineering Intern,$14808,$43656,$88703
Assistant Brand Manager,$49053,$78922,$126978
Marketing Team Member,$35122,$70757,$142549
Executive Recruiter,$26423,$62916,$149812
Activities Coordinator,$38964,$53111,$72395
Director Of Programming,$53358,$99311,$184840
Clerical Assistant,$24450,$35631,$50516
Experience Specialist,$33167,$44468,$59618
Digital Media Coordinator,$51605,$76726,$114075
Rental Agent,$28782,$39157,$53271
Catering Manager,$42085,$57389,$78258
National Accounts Manager,$35934,$65844,$120647
Design Consultant,$35288,$83050,$195459
Payroll Clerk,$34680,$46906,$63443
Vice President,$91008,$147285,$238362
Marketing And Communications Specialist,$37074,$57764,$89999
Marketing Communications Manager,$45396,$67954,$101722
Senior Business Development Representative,$42328,$70491,$117390
Social Media Supervisor,$28473,$48841,$83779
Category Planner,$43105,$69050,$110611
Assistant Baseball Coach,$14500,$17585,$32934
Senior Buyer,$59293,$78706,$161080
Kennel Assistant,$23238,$30447,$39892
After School Educator,$34744,$52325,$78801
Fitness Instructor,$30920,$58781,$111745
Pilates Instructor,$48396,$82437,$140422
Personal Trainer,$21819,$42059,$81072
Development Director,$47588,$86245,$156302
Marketing Trainee,$35122,$70757,$142549
Demand Generation Executive,$50633,$96360,$183380
Enterprise Account Executive,$72591,$127937,$225482
Server Bartender,$24665,$48125,$93897
Lead Planner,$66787,$102881,$144441
Market Research Interviewer,$22304,$33757,$51090
System Specialist,$53843,$90339,$151574
Communications Manager,$44338,$72796,$119519
Content Producer,$37963,$61510,$99660
Staff Reporter,$29681,$52704,$93585
Daycare Worker,$24731,$34133,$47110
Assistant Ticket Manager,$35043,$49231,$69163
Director Of Ticket Operations,$57571,$97845,$166292
Assistant Athletic Director,$33957,$62328,$114439
Head Of Customer Service,$47863,$99487,$206792
Senior Client Representative,$35027,$57656,$94905
Senior Marketing Specialist,$53325,$75489,$106864
Banquet Server,$25192,$36192,$51996
Front Desk Clerk,$31458,$42660,$57851
National Account Manager,$35934,$65844,$120647
Major Account Manager,$35934,$65844,$120647
Territory Manager,$44354,$69798,$109837
Senior Territory Manager,$48315,$91065,$171642
Salon Coordinator,$27026,$36409,$49050
Print Designer,$40668,$69602,$119122
Sales Account Representative,$34216,$58560,$100226
Category Manager,$61941,$98608,$156913
Ecommerce Manager,$43474,$70652,$114819
Business Support Analyst,$37758,$63076,$105369
Strategy Director,$87729,$143751,$235707
News Producer,$29569,$50171,$85125
Administrator,$43729,$74652,$127444
Service Supervisor,$36385,$54915,$82881
Operations Consultant,$93147,$129415,$179804
Committee Chair,$33136,$79174,$189174
Caller,$51173,$89184,$155429
Photography Intern,$18024,$44722,$52897
Media Relations Coordinator,$49974,$76185,$116141
Account Lead,$47375,$73744,$114791
Senior Director Of Engagement,$39717,$73285,$135222
Senior Director,$97049,$159765,$263013
Director Of Development,$47933,$86295,$156425
Corporate Development Manager,$60906,$97152,$154967
Gift Officer,$21933,$65611,$196263
Fitness Attendant,$32240,$45695,$64765
Attendant,$23750,$33605,$47550
Building Manager,$39625,$68060,$116901
Social Media Consultant,$28473,$48841,$83779
Membership Manager,$38552,$56107,$81656
Client Advisor,$42152,$59387,$83668
Business Intelligence Analyst,$56209,$85144,$128974
District Sales Leader,$41046,$71940,$126088
Content Specialist,$37302,$54931,$80891
Freelancer,$14500,$29858,$68099
Staffing Coordinator,$41591,$55185,$73222
Activities Director,$38964,$53111,$72395
Recreation Therapist,$37670,$67050,$119342
Program Specialist,$29715,$46742,$73526
Service Specialist,$42756,$65658,$100829
Development Assistant,$32761,$44557,$60600
Coordination Manager,$36617,$69667,$132544
Ice Cream Server,$20403,$29383,$42316
Merchandising Assistant,$41347,$57547,$80095
Ski Instructor,$16875,$43611,$117351
Marketing Account Manager,$46579,$73579,$116230
Junior Data Analyst,$37070,$61024,$96728
Senior Digital Strategist,$56862,$81067,$118439
Group Sales Manager,$28905,$64367,$143335
Global Account Manager,$35934,$65844,$120647
Implementation Project Manager,$40623,$68555,$115691
Solutions Architect,$93952,$135797,$196280
Executive Administrative Assistant,$33985,$52453,$87652
Club President,$74476,$138806,$258700
Head Softball Coach,$23789,$45811,$88220
Caregiver,$27649,$36501,$48186
Hospitality Manager,$38552,$58000,$87258
Assistant Branch Manager,$28238,$68097,$164220
Sales Ambassador,$17081,$28191,$46529
Transportation Specialist,$48408,$73390,$111264
Assistant Golf Professional,$23378,$40578,$70434
Warehouse Staff,$24573,$39374,$63090
Growth Marketer,$66076,$113949,$196506
Peer Advisor,$23256,$31580,$42884
Sales And Marketing Representative,$29433,$53681,$97905
Product Coordinator,$35915,$52414,$76494
Copy Editor,$41307,$63037,$96198
Merchandiser Associate,$45682,$63491,$88242
Promotional Representative,$38030,$72451,$138025
Program Officer,$46115,$82784,$148610
Service Agent,$35442,$59775,$100811
Operations Support Specialist,$33930,$55796,$91751
Senior Support Specialist,$31084,$49040,$77370
Service Center Supervisor,$37309,$61082,$100003
Financial Services Associate,$35909,$79357,$175373
Associate Community Manager,$38095,$56855,$84788
Front Desk Receptionist,$23084,$32191,$44892
Talent Acquisition Coordinator,$30149,$43415,$62516
Security Specialist,$66509,$108161,$175896
Disaster Recovery Specialist,$48642,$69906,$100466
Leadership Development Program Associate,$29997,$44991,$67480
Customer Support Assistant,$27121,$39182,$56606
Event Services Manager,$40112,$59843,$89278
Client Services Manager,$35925,$60003,$100218
Leasing Professional,$33647,$40731,$49307
Sales Leader,$37296,$79620,$169974
Retail Supervisor,$27368,$35184,$45232
Program Leader,$28278,$42191,$62949
Club Coordinator,$31918,$54916,$94485
Brand Marketing Consultant,$35972,$62671,$109185
Field Producer,$43763,$69572,$138717
Cafe Manager,$35248,$47482,$63964
Lead Barista,$30193,$39419,$52290
Bakery Clerk,$26517,$33261,$41719
International Student Advisor,$28718,$45900,$73362
Assistant Trade Marketing Manager,$37957,$67998,$121812
Eligibility Specialist,$43099,$56648,$74456
Site Assistant,$38682,$59121,$90359
Key Account Coordinator,$35113,$48092,$65868
Manager On Duty,$24057,$40340,$67644
Guest Services Representative,$33167,$44468,$59618
Wedding Coordinator,$23915,$48038,$96496
Engagement Specialist,$32929,$48400,$71140
Business Administrator,$35786,$58543,$95774
Community Lead,$34502,$64000,$118717
Business Operations Program Manager,$42639,$74035,$128549
Compliance Manager,$40830,$70534,$121846
Shop Assistant,$27757,$36984,$49278
Dining Room Server,$24320,$34090,$47784
Community Director,$40869,$68659,$115344
Associate Banker,$40874,$51824,$65707
Marketing & Sales Intern,$14500,$20361,$32638
Programs Coordinator,$26561,$38452,$55667
Talent Partner,$32423,$56779,$99434
Head Of Public Relations,$44436,$78401,$138327
Journalist,$28205,$47666,$80552
Licensed Realtor,$60189,$112157,$208994
Studio Manager,$34863,$51905,$77277
Business Coordinator,$35941,$55688,$86284
Communications Consultant,$49208,$76906,$120196
Program Associate,$29997,$44991,$67480
Experience Coordinator,$36274,$48133,$63869
